{47205a9e-23fb-4dff-a598-7df4dd9ecac2} event:/Bear/attack_block_break
{801bbe6e-ee59-4af9-a657-7df31fb4249d} event:/Menus_Inventory/pickup_item
{8ac9c74c-a431-4f98-a3e0-661e02b6faad} event:/Menus_Inventory/select
{3e18d3bb-8972-47a4-b3e2-dff888da6f0e} event:/Ogre/attack
{ca815c10-9556-41d8-bdc4-aa2f5d468165} event:/Ogre/death
{2048fed1-c98d-4c41-9b83-80b58cfef190} event:/Ogre/take_damage
{20613b6c-c422-420d-ae84-6e40cc67ae38} event:/Rat/attack
{fb987319-f34e-4787-b0db-664b7c56e828} event:/Rat/death
{7925e6e0-af41-4aba-a39f-b3993d1d0fcb} event:/Rat/take_damage
{58e20180-b643-4a6a-ac90-7743f00f619c} event:/Robot/attack
{8c15e257-979d-4b3c-8d7a-9093ada81165} event:/Robot/death
{f52d0703-94ac-4337-9e72-dc64aeaaa944} event:/Robot/take_damage
{b6292f7f-77c5-4ef4-bceb-a03fe685ddff} event:/Skeleton/attack
{ef018e94-eb12-458b-b495-1eae55fd5a94} event:/Skeleton/death
{e3a8babc-046a-45f5-9bc5-7fb748454f54} event:/Skeleton/take_damage
{3c95ec74-a5bb-4c1f-981c-2e47501c0ad6} event:/Slime/attack
{e47c21e3-c73f-4b3c-a83e-a2acb8717ebd} event:/Slime/death
{e6c342fd-9fc4-45bf-acde-6dc385b1b8b9} event:/Slime/take_damage
{9b1f3797-fe72-442a-bb49-fde0c3aa8a76} event:/Wraith/attack
{9d595806-6b58-4a41-9b53-7e127dbf0ffc} event:/Wraith/death
{76b8f8c5-cb23-415f-91dc-d663cf51cb5f} event:/Wraith/take_damage
{373dc11c-cb69-4674-b7c5-0fbba54298e9} bus:/
{1bd3f3f4-c823-4bed-9f03-d5f2d1ff6230} bus:/New Group
{50424bbf-eae2-442a-8df9-9500c4be03e7} bus:/New Group/New Return
{1fc82de0-6db2-4bc1-abcd-2cd6ba3577c9} bus:/New Group/Reverb
{fcfe7cde-cd13-4293-b649-8169b2170e59} bank:/Master Bank
